EIN2,EIN,NTEE_IRS,NTEE_NCCS,NTEEV2,NCCS_LEVEL_1,NCCS_LEVEL_2,NCCS_LEVEL_3,F990_TOTAL_REVENUE_RECENT,F990_TOTAL_INCOME_RECENT,F990_TOTAL_ASSETS_RECENT,F990_ORG_ADDR_CITY,F990_ORG_ADDR_STATE,F990_ORG_ADDR_ZIP,F990_ORG_ADDR_STREET,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_BLOCK_FIPS,CENSUS_URBAN_AREA,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_ADDR_FULL,ORG_ADDR_MATCH,LATITUDE,LONGITUDE,GEOCODER_SCORE,GEOCODER_MATCH,BMF_SUBSECTION_CODE,BMF_STATUS_CODE,BMF_PF_FILING_REQ_CODE,BMF_ORGANIZATION_CODE,BMF_INCOME_CODE,BMF_GROUP_EXEMPT_NUM,BMF_FOUNDATION_CODE,BMF_FILING_REQ_CODE,BMF_DEDUCTIBILITY_CODE,BMF_CLASSIFICATION_CODE,BMF_ASSET_CODE,BMF_AFFILIATION_CODE,ORG_RULING_DATE,ORG_FISCAL_YEAR,ORG_RULING_YEAR,ORG_YEAR_FIRST,ORG_YEAR_LAST,ORG_YEAR_COUNT,ORG_PERS_ICO,ORG_NAME_SEC,ORG_NAME_CURRENT,ORG_FISCAL_PERIOD
EIN-01-0521834,10521834,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,KENNEBUNK,ME,04043-6762,2 LIVEWELL DRIVE,38860,"Portland-South Portland, ME",230310280043001,U,ME,York County,"2 LIVEWELL DRIVE,KENNEBUNK,ME,04043-6762","2 Livewell Dr, Kennebunk, Maine, 04043",43.393932,-70.5278295,100,M,3,1,0,1,0,0,15,2,1,1000,0,3,1999-05,2023,1999,1999,2023,25,% DAVID REID,"",VINEGAR HILL YOUTH THEATRE,5
EIN-01-0525496,10525496,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,NEW HARBOR,ME,04554-0202,PO BOX 202,,"",230159756004007,R,ME,Lincoln County,"PO BOX 202,NEW HARBOR,ME,04554-0202","04554-0202, New Harbor, Maine",43.861797,-69.5055915,98,M,3,1,0,1,0,0,16,2,1,2000,0,3,1999-08,2024,1999,1999,2024,26,% JOLYNN BONIN,"",SALTWATER ARTISTS,8
EIN-01-0526494,10526494,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,711812,TOWNSEND,VT,5353,392 HALL DR,,"",500259672003032,R,VT,Windham County,"392 HALL DR,TOWNSEND,VT,5353","392 Hall Dr, Townshend, Vermont, 05353",43.0983609672514,-72.6399894716079,98.14,M,3,,,,,0,15,20,,,,,1999-09,2011,1999,1999,2011,13,"","",HALL FARM FOR ARTS & EDUCATION INC,9
EIN-01-0526522,10526522,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,PROVIDENCE,RI,02906-2533,156 LANCASTER ST,39300,"Providence-Warwick, RI-MA",440070032003003,U,RI,Providence County,"156 LANCASTER ST,PROVIDENCE,RI,02906-2533","156 Lancaster St, Providence, Rhode Island, 02906",41.8455677868601,-71.3994153635813,100,M,3,1,0,1,0,0,15,2,1,2000,0,3,1999-11,2024,1999,2000,2024,25,% FORREST J SNYDER,"",CRITICAL CERAMICS,11
EIN-01-0528831,10528831,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,827974,827974,1786226,BELFAST,ME,04915-6608,256 HIGH ST,,"",230270430003010,U,ME,Waldo County,"256 HIGH ST,BELFAST,ME,04915-6608","256 High St, Belfast, Maine, 04915",44.429508,-69.013863,100,M,3,1,0,1,5,0,16,1,1,2000,6,3,2003-01,2024,2003,2003,2024,22,% LOU CHAMBERLAND,"",WATERFALL ARTS,1
EIN-01-0605409,10605409,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,66,150390,GOLD RIVER,CA,95670,11762 GOLD PARKE LN,40900,"Sacramento-Roseville-Folsom, CA",60670087022009,U,CA,Sacramento County,"11762 GOLD PARKE LN,GOLD RIVER,CA,95670","11762 Gold Parke Ln, Rancho Cordova, California, 95670",38.623446,-121.2405345,100,M,3,,,,,0,11,20,,,,,2003-03,2017,2003,2003,2017,15,"","",HEMISPHERES ART ACADEMY,3
EIN-01-0648393,10648393,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,TEANECK,NJ,7666,PO BOX 525,35620,"New York-Newark-Jersey City, NY-NJ-PA",340030544006012,U,NJ,Bergen County,"PO BOX 525,TEANECK,NJ,7666","07666, Teaneck, New Jersey",40.8902450000001,-74.024305,98,M,3,,,,,0,16,20,,,,,2006-02,2011,2006,2007,2011,5,"","",LINDA DORSEY SCHOOL OF THE ARTS INC,2
EIN-01-0662041,10662041,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,CHARLOTTE,NC,28227-0000,2400 CROWNPOINT EXEC DR STE 200,16740,"Charlotte-Concord-Gastonia, NC-SC",371190058663001,U,NC,Mecklenburg County,"2400 CROWNPOINT EXEC DR STE 200,CHARLOTTE,NC,28227-0000","2400 Crownpoint Executive Dr, Ste 200, Charlotte, North Carolina, 28227",35.1424266208381,-80.7233756236368,100,M,3,1,0,5,0,0,16,2,1,2000,0,3,2016-05,2024,2016,2016,2024,9,"","",GREATER MARYLAND DECORATIVE ARTISANS,5
EIN-01-0662891,10662891,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,107586,23771,OLYMPIC VLY,CA,96146,PO BOX 3325,40900,"Sacramento-Roseville-Folsom, CA",60610220142000,R,CA,Placer County,"PO BOX 3325,OLYMPIC VLY,CA,96146","96146, Olympic Valley, California",39.1991507000001,-120.2350735,98,M,3,,,,,0,16,10,,,,,2002-07,2022,2002,2003,2022,20,"","",SQUAW VALLEY INSTITUTE,7
EIN-01-0663992,10663992,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,PAYSON,AZ,85541,1107 W COUNTRY CLUB DR,37740,"Payson, AZ",40070003021000,R,AZ,Gila County,"1107 W COUNTRY CLUB DR,PAYSON,AZ,85541","1107 W Country Club Dr, Payson, Arizona, 85541",34.2303419072369,-111.347131127676,100,M,3,,,,,0,15,20,,,,,2015-09,2019,2015,2004,2019,16,"","",PAYSON CLASSICAL MUSIC ASSOC INC,9
EIN-01-0666130,10666130,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,912494,67157,EAST LANSING,MI,48823,4660 S HAGADORN RD STE 500,29620,"Lansing-East Lansing, MI",260650049022005,U,MI,Ingham County,"4660 S HAGADORN RD STE 500,EAST LANSING,MI,48823","4660 S Hagadorn Rd, Ste 500, East Lansing, Michigan, 48823",42.7177841174043,-84.4620847772531,100,M,3,,,,,0,11,10,,,,,2002-12,2012,2002,2003,2012,10,"","",DOWNTOWN ACADEMY OF TECHNOLOGY AND ARTS INC,12
EIN-01-0737962,10737962,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,IRVINE,CA,92602,9 DYNASTY CT,31080,"Los Angeles-Long Beach-Anaheim, CA",60590524342003,U,CA,Orange County,"9 DYNASTY CT,IRVINE,CA,92602","9 Dynasty Ct, Irvine, California, 92602",33.7350574740608,-117.774591474061,100,M,3,,,,,0,15,20,,,,,2003-01,2010,2003,2003,2010,8,"","",GABRIELS GIFT FOUNDATION,1
EIN-01-0740113,10740113,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,551972,222637,LONG BEACH,CA,90814,375 REDONDO AVE STE 156,31080,"Los Angeles-Long Beach-Anaheim, CA",60375771004003,U,CA,Los Angeles County,"375 REDONDO AVE STE 156,LONG BEACH,CA,90814","375 Redondo Ave, #156, Long Beach, California, 90814",33.7708738498471,-118.15245253347,100,M,3,,,,,0,16,10,,,,,2002-09,2020,2002,2003,2020,18,"","",KHMER ARTS ACADEMY,9
EIN-01-0814383,10814383,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,39548,39548,43962,SOMERVILLE,MA,02144-4470,58 DAY ST UNIT 442115,14460,"Boston-Cambridge-Newton, MA-NH",250173509003009,U,MA,Middlesex County,"58 DAY ST UNIT 442115,SOMERVILLE,MA,02144-4470","58 Day Street, Somerville, Massachusetts, 02144",42.395841,-71.1227655,100,M,3,1,0,1,3,0,16,2,1,1700,3,3,2006-06,2024,2006,2007,2024,18,% MATTHEW CARRANO,"",SOMERVILLE OPEN STUDIOS INC,6
EIN-01-0824608,10824608,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,ATHENS,GA,30601-5401,100 OAK HILL DR APT 4113,12020,"Athens-Clarke County, GA",130590301021004,U,GA,Clarke County,"100 OAK HILL DR APT 4113,ATHENS,GA,30601-5401","100 Oak Hill Dr, Apt 4113, Athens, Georgia, 30601",33.9752808964741,-83.3570773864622,100,M,3,1,0,1,0,0,15,2,1,1000,0,3,2006-06,2024,2006,2007,2024,18,% DEBRA MCCAW,"",OHAPYDAY TEEN SCENE FILMS,6
EIN-01-0824769,10824769,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,HOT SPRINGS,AR,71909-3316,6 ASPE LN,26300,"Hot Springs, AR",50510120022011,U,AR,Garland County,"6 ASPE LN,HOT SPRINGS,AR,71909-3316","6 Aspe Ln, Hot Springs Village, Arkansas, 71909",34.674372,-93.007035,99.9,M,3,1,0,1,0,0,15,2,1,1000,0,3,2006-07,2024,2006,2007,2024,18,% ANTHONY STEELE,"",CENTRAL ARKANSAS WOODTURNERS,7
EIN-01-0830989,10830989,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,YORKVILLE,CA,95494-9200,20551 HIGHWAY 128,46380,"Ukiah, CA",60450112002059,R,CA,Mendocino County,"20551 HIGHWAY 128,YORKVILLE,CA,95494-9200","20551 Highway 128, Yorkville, California, 95494",38.9317046566451,-123.305110579116,100,M,3,1,0,1,0,0,15,2,1,1200,0,3,2005-06,2024,2005,2005,2024,20,% KAREN ALTARAS,"",ANDERSON VALLEY ARTS,6
EIN-01-0831609,10831609,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,NEW HAVEN,CT,06511-0000,1221 CHAPEL STREET,35300,"New Haven-Milford, CT",90093614012005,U,CT,South Central Connecticut Planning Region,"1221 CHAPEL STREET,NEW HAVEN,CT,06511-0000","1221 Chapel St, New Haven, Connecticut, 06511",41.3092732620173,-72.9351699467079,100,M,3,1,0,1,0,0,15,2,1,2000,0,3,2006-04,2024,2006,2007,2024,18,% J F JACOT,"",ARCHITECTURE RESOURCE CENTER INC,4
EIN-01-0877394,10877394,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,9570,3065,BROOKLYN,NY,11238,360 CLINTON AVE APT 6D,35620,"New York-Newark-Jersey City, NY-NJ-PA",360470197003002,U,NY,Kings County,"360 CLINTON AVE APT 6D,BROOKLYN,NY,11238","360 Clinton Ave, Brooklyn, New York, 11238",40.687299,-73.9678995,100,M,3,,,,,0,15,20,,,,,2007-04,2013,2007,2007,2013,7,"",GLASS CONTRAPTION,THE GLASS CONTRAPTION ARTS GROUP INC,4
EIN-01-0892699,10892699,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,BRADENTON,FL,34209-8138,9111 18TH DR NW,35840,"North Port-Sarasota-Bradenton, FL",120810012043003,R,FL,Manatee County,"9111 18TH DR NW,BRADENTON,FL,34209-8138","9111 18th Dr NW, Bradenton, Florida, 34209",27.5159446952794,-82.6540355692481,100,M,3,1,0,1,0,0,15,2,1,2000,0,3,2007-08,2024,2007,2008,2024,17,% LORRAINE GRACE,"",ART ANGELS INC,8
EIN-01-0893750,10893750,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,FLAGSTAFF,AZ,86002-0000,PO BOX 854,22380,"Flagstaff, AZ",40050012011095,U,AZ,Coconino County,"PO BOX 854,FLAGSTAFF,AZ,86002-0000","86002, Flagstaff, Arizona",35.1980100000001,-111.646425,98,M,3,1,0,1,0,0,15,2,1,2000,0,3,2007-10,2024,2007,2008,2024,17,% KELLY,"",MASTERPIECE ART PROGRAM OF FLAGSTAFF,10
EIN-01-0896176,10896176,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,178798,178798,35528,MILLVILLE,NJ,08332-1521,814 WHITAKER AVE,47220,"Vineland-Bridgeton, NJ",340110304011001,U,NJ,Cumberland County,"814 WHITAKER AVE,MILLVILLE,NJ,08332-1521","814 Whitaker Ave, Millville, New Jersey, 08332",39.4176079964506,-75.0246906552602,100,M,3,1,0,1,4,0,15,1,1,1200,3,3,2007-08,2024,2007,2008,2024,17,% PATRICIA V WITT,"",THE BARN STUDIO OF ART INC,8
EIN-01-0901461,10901461,A25,A25,ART-A25-RG,501CX NONPROFIT,O,AR,,0,0,PROVIDENCE,RI,2940,PO BOX 41473,39300,"Providence-Warwick, RI-MA",440070029004031,U,RI,Providence County,"PO BOX 41473,PROVIDENCE,RI,2940","02940, Providence, Rhode Island",41.8397143,-71.4133812,98,M,5,,,,,2480,0,2,,,,,1973-05,2015,1973,2010,2015,6,"",13-006-IBOP RI SCHOOL OF DESIGN PUB,NATIONAL ASSOCIATION OF GOVERNMENT EMPLOYEES,5
EIN-01-0946780,10946780,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,15047,114,TULSA,OK,74136,6225 S TRENTON AVE,46140,"Tulsa, OK",401430076444002,U,OK,Tulsa County,"6225 S TRENTON AVE,TULSA,OK,74136","6225 S Trenton Ave, Tulsa, Oklahoma, 74136",36.071904719401,-95.9690582099373,100,M,3,,,,,0,15,2,,,,,2012-02,2015,2012,2012,2015,4,"",MONICA CUEVAS-CONTRERAS GEN PTR,MOMENTUM ARTS ACADEMY,2
EIN-01-0951241,10951241,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,SANTA FE,NM,87505,2331 CAMINO PINTORES,42140,"Santa Fe, NM",350490011074000,U,NM,Santa Fe County,"2331 CAMINO PINTORES,SANTA FE,NM,87505","2331 Camino Pintores, Santa Fe, New Mexico, 87505",35.6424079361476,-105.97958995268,100,M,3,,,,,0,15,20,,,,,2010-07,2020,2010,2010,2020,11,"","",IMAGINE FORWARD,7
EIN-02-0225136,20225136,A25,A25,ART-A25-RG,UNDEFINED,O,AR,,0,0,MANCHESTER,NH,3101,"",31700,"Manchester-Nashua, NH",330112004004004,U,NH,Hillsborough County,"MANCHESTER,NH,3101","03101, Manchester, New Hampshire",42.9922100000001,-71.46441,100,M,3,,,,,,9,,,,,,1944-11,1995,1944,1989,1995,7,"","",RESEARCH & DESIGN INSTITUTE INC,11
EIN-02-0227601,20227601,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,807899,1621060,SHARON,NH,3458,457 ROUTE 123,31700,"Manchester-Nashua, NH",330110225021033,R,NH,Hillsborough County,"457 ROUTE 123,SHARON,NH,3458","457 Nh Route 123, Peterborough, New Hampshire, 03458",42.8133565045303,-71.9152348053548,100,M,3,,,1,,0,11,10,,,,,1948-08,2013,1948,1989,2013,25,"","",SHARON ARTS CENTER,8
EIN-02-0327491,20327491,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,61579,1937,BOSTON,MA,2117,PO BOX 171297,14460,"Boston-Cambridge-Newton, MA-NH",250250707001003,U,MA,Suffolk County,"PO BOX 171297,BOSTON,MA,2117","02117, Boston, Massachusetts",42.34831,-71.074065,98,M,3,,,5,,0,16,1,,,,,1977-05,2015,1977,1989,2015,27,"","",NEW ENGLAND ART EDUCATION CONFERENCE,5
EIN-02-0361097,20361097,A25,A25,ART-A25-RG,501CX NONPROFIT,O,AR,,0,0,PORTSMOUTH,NH,03801-4223,"",14460,"Boston-Cambridge-Newton, MA-NH",330150692003001,U,NH,Rockingham County,"PORTSMOUTH,NH,03801-4223","03801-4223, Portsmouth, New Hampshire",43.072623,-70.7676795,100,M,,,,,,,,,,,,,"",,,1989,1989,1,"","",INSTITUTE FOR THERAPEUTIC ARTS INC,6
EIN-02-0373379,20373379,A250,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,BROOMFIELD,CO,80020-2224,1340 US HIGHWAY 287 STE 100,19740,"Denver-Aurora-Lakewood, CO",80140300001026,U,CO,Broomfield County,"1340 US HIGHWAY 287 STE 100,BROOMFIELD,CO,80020-2224","1340 US Highway 287, Broomfield, Colorado, 80020",39.9161905470311,-105.084644028594,100,M,3,1,0,1,0,0,11,2,1,1000,0,3,1984-04,2024,1984,1989,2024,36,"","",HEARTWOOD COLLEGE OF ART INC,4
EIN-02-0398863,20398863,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,WENTWORTH,NH,3282,PO BOX 78,30100,"Lebanon, NH-VT",330099607001024,R,NH,Grafton County,"PO BOX 78,WENTWORTH,NH,3282","03282, Wentworth, New Hampshire",43.8740294,-71.9131376,98,M,3,,,1,,0,15,20,,,,,1988-01,2020,1988,1989,2020,32,"","",VSA ARTS OF NEW HAMPSHIRE,1
EIN-02-0479949,20479949,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,460648,77651,FRANKLIN,TN,37069,2291 N BERRYS CHAPEL RD,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",471870504062000,R,TN,Williamson County,"2291 N BERRYS CHAPEL RD,FRANKLIN,TN,37069","2291 N Berrys Chapel Rd, Franklin, Tennessee, 37069",35.9814039325983,-86.8497748580414,100,M,3,,,,,0,16,1,,,,,1996-09,2016,1996,1997,2016,20,"",GLOBAL ALLIANCE FOR ARTS & HEALTH,ARTS & HEALTH ALLIANCE,9
EIN-02-0482285,20482285,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,49992,19151,NORTH CONWAY,NH,3860,"",,"",330039553014004,U,NH,Carroll County,",NORTH CONWAY,NH,3860","03860, North Conway, New Hampshire",44.0532500000001,-71.124145,100,M,3,,,,,,15,,,,,,1996-10,2009,1996,1997,2009,13,"","",MOUNT WASHINGTON WAY FOR BETTER LIVING,10
EIN-02-0495547,20495547,A250,A25,ART-A25-RG,501C3 CHARITY,O,AR,228360,228360,225703,NORTH HAMPTON,NH,03862-0247,PO BOX 247,14460,"Boston-Cambridge-Newton, MA-NH",330150660002027,U,NH,Rockingham County,"PO BOX 247,NORTH HAMPTON,NH,03862-0247","03862-0247, North Hampton, New Hampshire",42.974784,-70.8283395,98,M,3,1,0,1,4,0,16,1,1,2000,4,3,1998-08,2024,1998,1999,2024,26,"","",NORTH COUNTRY STUDIO WORKSHOPS INC,8
EIN-02-0504055,20504055,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,BOW,NH,3304,"",18180,"Concord, NH",330130310022007,R,NH,Merrimack County,"BOW,NH,3304","03304, Bow, New Hampshire",43.1554217,-71.540442,100,M,3,,,,,,16,,,,,,1999-04,2008,1999,1999,2008,10,"","",OPEN STUDIO,4
EIN-02-0507428,20507428,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,455816,455816,555842,PORTSMOUTH,NH,03802-0236,PO BOX 236,14460,"Boston-Cambridge-Newton, MA-NH",330151072002004,U,NH,Rockingham County,"PO BOX 236,PORTSMOUTH,NH,03802-0236","03802-0236, Portsmouth, New Hampshire",43.037028,-70.799418,98,M,3,1,0,1,4,0,15,1,1,2000,5,3,1999-05,2024,1999,1999,2024,26,"","",ARTS IN REACH-ENCOURAGING GROWTH THROUGH THE ARTS,5
EIN-02-0509502,20509502,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,36203,2196,BELLOWS FALLS,VT,5101,PO BOX 48,,"",500259670002024,U,VT,Windham County,"PO BOX 48,BELLOWS FALLS,VT,5101","05101, Bellows Falls, Vermont",43.134015,-72.45027,98,M,3,,,,,0,15,20,,,,,1999-09,2012,1999,2000,2012,13,"","",GREAT RIVER ART INSTITUTE,9
EIN-02-0570317,20570317,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,354757,74344,INDIANAPOLIS,IN,46218,2605 EAST 25TH STREET STE 301,26900,"Indianapolis-Carmel-Anderson, IN",180973521002008,U,IN,Marion County,"2605 EAST 25TH STREET STE 301,INDIANAPOLIS,IN,46218","2605 E 25th St, Indianapolis, Indiana, 46218",39.8033854085063,-86.1190871122684,100,M,3,,,,,0,15,10,,,,,2002-08,2022,2002,2003,2022,20,"","",ART WITH A HEART INC,8
EIN-02-0576463,20576463,A25,A25,ART-A25-RG,501C3 PRIVATE FOUNDATION,O,AR,,0,0,MIAMI,FL,33161,1583 NE 110TH ST,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",120860012042004,U,FL,Miami-Dade County,"1583 NE 110TH ST,MIAMI,FL,33161","1583 NE 110th St, Miami, Florida, 33161",25.8769195653816,-80.1662713637255,100,M,3,,,,,0,4,3,,,,,2002-06,2010,2002,2003,2010,8,"","",MCMTI INC,6
EIN-02-0603084,20603084,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,PINE RIDGE,SD,57770-3037,PO BOX 3037,,"",461029410001074,R,SD,Oglala Lakota County,"PO BOX 3037,PINE RIDGE,SD,57770-3037","57770-3037, Pine Ridge, South Dakota",43.03845,-102.8265795,98,M,3,1,0,1,0,0,16,2,1,2000,0,3,2003-01,2024,2003,2003,2024,22,% DENNIS BANKS,"",NOWA CUMIG INSTITUTE,1
EIN-02-0607200,20607200,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,343784,356233,226256,PALM SPRINGS,CA,92263-4738,PO BOX 4738,40140,"Riverside-San Bernardino-Ontario, CA",60659414002008,U,CA,Riverside County,"PO BOX 4738,PALM SPRINGS,CA,92263-4738","92263-4738, Palm Springs, California",33.817122,-116.538111,98,M,3,1,0,1,4,0,16,1,1,2000,4,3,2005-03,2024,2005,2003,2024,22,% PETER MORUZZI,"",PALM SPRINGS MODERN COMMITTE,3
